40
0.4	6374	-6078	44835	11354
0.596	5803	-4112	27168	8825
0.791	4750	-2432	18315	6252
0.987	4057	-1611	14049	4899
1.182	3543	-1115	11555	4003
1.378	3132	-782	9850	3338
1.573	2796	-546	8590	2830
1.769	2520	-374	7612	2430
1.964	2291	-241	6831	2113
2.16	2101	-135	6200	1858
2.265	2013	-86	5909	1741
2.371	1933	-43	5646	1635
2.476	1860	-4	5407	1540
2.582	1795	32	5189	1454
2.687	1736	64	4990	1375
2.792	1683	93	4809	1304
2.898	1635	120	4643	1238
3.003	1593	144	4493	1178
3.109	1555	165	4355	1123
3.214	1522	185	4229	1072
3.319	1492	204	4114	1025
3.425	1467	221	4008	983
3.53	1445	236	3912	943
3.636	1426	251	3825	907
3.741	1410	263	3747	872
3.846	1398	275	3675	841
3.952	1387	286	3611	812
4.057	1380	295	3552	785
4.163	1374	305	3499	760
4.268	1370	313	3452	737
4.373	1368	321	3409	715
4.479	1368	328	3371	696
4.584	1369	334	3338	677
4.69	1372	340	3310	659
4.795	1375	345	3285	643
4.9	1380	350	3264	627
5.006	1386	354	3245	613
5.111	1393	358	3229	600
5.217	1400	362	3216	588
5.322	1408	365	3205	577
